"Id","MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LandContour","Neighborhood","BldgType","HouseStyle","OverallQual","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","Foundation","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinSF1","TotalBsmtSF","HeatingQC","Electrical","X1stFlrSF","X2ndFlrSF","GrLivArea","FullBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageType","GarageFinish","GarageCars","GarageArea","PavedDrive","SaleType","SalePrice","YrDiffSoldBuilt","YrDiffRemodBlt","YrDiffSoldRemod","X2ndFlrYN","TotalBath","HalfBathYN","YrDiffGarageBlt","FrontAreaSF"
13,20,"RL",70,12968,"IR2","Lvl","C","A","B","5","B","B","None",0,"TA","B","TA","No","B",737,912,"Good","A",912,0,912,1,2,"TA","4","No","Detchd","Unf",1,"352","Paved","B",144000,46,0,46,"No",2,"No",0,316
14,20,"RL",91,10652,"IR1","Lvl","D","A","B","7","D","C","Stone",306,"Gd","A","Gd","Av","B",0,1494,"Excellent","A",1494,0,1494,2,3,"Gd","7","Yes","Attchd","RFn",3,"840","Paved","C",279500,1,1,0,"No",2,"No",0,193
15,20,"RL",80,10920,"IR1","Lvl","C","A","B","6","B","B","BrkFace",212,"TA","B","TA","No","B",733,1253,"Good","A",1253,0,1253,1,2,"TA","5","Yes","Attchd","RFn",1,"352","Paved","B",157000,48,0,48,"No",2.5,"Yes",0,389
16,45,"RH",51,6120,"Reg","Lvl","B","A","A","7","B","B","None",0,"TA","B","TA","No","B",0,832,"Excellent","B",854,0,854,1,2,"TA","5","No","Detchd","Unf",2,"576","Paved","B",132000,78,72,6,"No",1,"No",62,160
17,20,"RL",93,11241,"IR1","Lvl","C","A","B","6","B","B","BrkFace",180,"TA","B","TA","No","B",578,1004,"Excellent","A",1004,0,1004,1,2,"TA","5","Yes","Attchd","Fin",2,"480","Paved","B",149000,40,0,40,"No",2,"No",0,0
18,90,"RL",72,10791,"Reg","Lvl","C","C","B","4","B","B","None",0,"TA","B","TA","NoBasement","No Basement",0,0,"Good","A",1296,0,1296,2,2,"TA","6","No","CarPort","Unf",2,"516","Paved","B",90000,39,0,39,"No",2,"No",0,0
19,20,"RL",66,13695,"Reg","Lvl","D","A","B","5","D","C","None",0,"TA","A","TA","No","A",646,1114,"Excellent","A",1114,0,1114,1,3,"Gd","6","No","Detchd","Unf",2,"576","Paved","B",159000,4,0,4,"No",2.5,"Yes",0,102
20,20,"RL",70,7560,"Reg","Lvl","C","A","B","5","C","B","None",0,"TA","B","TA","No","B",504,1029,"Good","A",1339,0,1339,1,3,"TA","6","No","Attchd","Unf",1,"294","Paved","A",139000,51,7,44,"No",1,"No",0,0
21,60,"RL",101,14215,"IR1","Lvl","F","A","C","8","D","C","BrkFace",380,"Gd","A","Ex","Av","B",0,1158,"Excellent","A",1158,1218,2376,3,4,"Gd","9","Yes","BuiltIn","RFn",3,"853","Paved","C",325300,1,1,0,"Yes",3.5,"Yes",0,394
22,45,"RH",57,7449,"Reg","Bnk","A","A","A","7","B","B","None",0,"TA","A","TA","No","B",0,637,"Excellent","B",1108,0,1108,1,3,"Gd","6","Yes","Attchd","Unf",1,"280","PartialNo","B",139400,77,20,57,"No",1,"No",0,205
23,20,"RL",75,9742,"Reg","Lvl","D","A","B","8","D","C","BrkFace",281,"Gd","A","Gd","No","B",0,1777,"Excellent","A",1795,0,1795,2,3,"Gd","7","Yes","Attchd","RFn",2,"534","Paved","B",230000,6,0,6,"No",2,"No",0,330
24,120,"RH",44,4224,"Reg","Lvl","A","B","B","5","E","C","None",0,"TA","A","Gd","No","A",840,1040,"Good","A",1060,0,1060,1,3,"TA","6","Yes","Attchd","Unf",2,"572","Paved","B",129900,31,0,31,"No",2,"No",0,210
25,20,"RL",70,8246,"IR1","Lvl","C","A","B","5","C","B","None",0,"TA","B","TA","Mn","B",188,1060,"Excellent","A",1060,0,1060,1,3,"Gd","6","Yes","Attchd","Unf",1,"270","Paved","B",154000,42,33,9,"No",2,"No",0,496
26,20,"RL",110,14230,"Reg","Lvl","F","A","B","8","D","C","Stone",640,"Gd","A","Gd","No","B",0,1566,"Excellent","A",1600,0,1600,2,3,"Gd","7","Yes","Attchd","RFn",3,"890","Paved","B",256300,2,0,2,"No",2,"No",0,56
27,20,"RL",60,7200,"Reg","Lvl","C","A","B","5","B","B","None",0,"TA","B","TA","Mn","B",234,900,"Good","A",900,0,900,1,3,"Gd","5","No","Detchd","Unf",2,"576","Paved","B",134800,59,49,10,"No",1.5,"No",54,254
28,20,"RL",98,11478,"Reg","Lvl","F","A","B","8","D","C","Stone",200,"Gd","A","Ex","No","A",1218,1704,"Excellent","A",1704,0,1704,2,3,"Gd","7","Yes","Attchd","RFn",3,"772","Paved","B",306000,3,1,2,"No",3,"No",1,50
29,20,"RL",47,16321,"IR1","Lvl","C","A","B","5","B","B","None",0,"TA","B","TA","Gd","B",1277,1484,"Good","A",1600,0,1600,1,2,"TA","6","Yes","Attchd","RFn",1,"319","Paved","B",207500,49,40,9,"No",2,"No",0,546
30,30,"RH",60,6324,"IR1","Lvl","B","A","B","4","B","B","None",0,"TA","B","TA","No","B",0,520,"Bad","A",520,0,520,1,1,"Fa","4","No","Detchd","Unf",1,"240","Paved","B",68500,81,23,58,"No",1,"No",-7,136
31,70,"C (all)",50,8500,"Reg","Lvl","A","A","C","4","C","B","None",0,"TA","B","TA","No","B",0,649,"Good","A",649,668,1317,1,3,"TA","6","No","Detchd","Unf",1,"250","PartialNo","B",40000,88,30,58,"Yes",1,"No",0,226
32,20,"RL",70,8544,"IR1","Lvl","C","A","B","5","B","B","None",0,"TA","B","TA","No","B",0,1228,"Good","A",1228,0,1228,1,3,"Gd","6","No","Attchd","Unf",1,"271","Paved","B",149350,42,40,2,"No",1.5,"Yes",0,65
33,20,"RL",85,11049,"Reg","Lvl","D","A","B","8","D","C","None",0,"Gd","A","Ex","Av","B",0,1234,"Excellent","A",1234,0,1234,2,3,"Gd","7","No","Attchd","RFn",2,"484","Paved","B",179900,1,0,1,"No",2,"No",0,30
34,20,"RL",70,10552,"IR1","Lvl","C","A","B","5","C","B","None",0,"TA","B","TA","No","B",1018,1398,"Good","A",1700,0,1700,1,4,"Gd","6","Yes","Attchd","RFn",2,"447","Paved","B",165500,51,0,51,"No",2,"Yes",0,38
35,120,"RL",60,7313,"Reg","Lvl","F","B","B","9","B","B","BrkFace",246,"Ex","A","Ex","No","A",1153,1561,"Excellent","A",1561,0,1561,2,2,"Ex","6","Yes","Attchd","Fin",2,"556","Paved","B",277500,2,0,2,"No",3,"No",0,250
36,60,"RL",108,13418,"Reg","Lvl","F","A","C","8","D","C","Stone",132,"Gd","A","Ex","Av","B",0,1117,"Excellent","A",1132,1320,2452,3,4,"Gd","9","Yes","BuiltIn","Fin",3,"691","Paved","B",309000,2,1,1,"Yes",3.5,"Yes",0,145
37,20,"RL",112,10859,"Reg","Lvl","D","A","B","5","D","C","None",0,"TA","A","Gd","No","B",0,1097,"Excellent","A",1097,0,1097,1,3,"TA","6","No","Attchd","Unf",2,"672","Paved","B",145000,15,1,14,"No",1.5,"Yes",1,456
38,20,"RL",74,8532,"Reg","Lvl","C","A","B","5","B","B","BrkFace",650,"TA","B","TA","No","B",1213,1297,"Good","A",1297,0,1297,1,3,"TA","5","Yes","Attchd","Fin",2,"498","Paved","B",153000,55,36,19,"No",1.5,"No",0,0
39,20,"RL",68,7922,"Reg","Lvl","C","A","B","5","D","C","None",0,"TA","B","TA","No","A",731,1057,"Good","A",1057,0,1057,1,3,"Gd","5","No","Detchd","Unf",1,"246","Paved","B",109000,57,54,3,"No",2,"No",0,52
40,90,"RL",65,6040,"Reg","Lvl","B","C","B","4","A","B","None",0,"TA","A","TA","NoBasement","No Basement",0,0,"Good","B",1152,0,1152,2,2,"Fa","6","No","No Garage","No Garage",0,"0","PartialNo","B",82000,53,0,53,"No",2,"No",0,0
41,20,"RL",84,8658,"Reg","Lvl","C","A","B","6","B","B","BrkFace",101,"TA","B","TA","No","B",643,1088,"Excellent","A",1324,0,1324,2,3,"TA","6","Yes","Attchd","RFn",2,"440","Paved","B",160000,41,0,41,"No",2,"No",0,138
42,20,"RL",115,16905,"Reg","Lvl","E","A","B","5","D","C","None",0,"TA","B","TA","Gd","B",967,1350,"Good","A",1328,0,1328,1,2,"TA","5","Yes","Attchd","RFn",1,"308","PartialNo","B",170000,48,0,48,"No",2,"Yes",0,104
43,85,"RL",75,9180,"IR1","Lvl","D","A","A","5","B","B","None",0,"TA","B","Gd","Av","B",747,840,"Good","A",884,0,884,1,2,"Gd","5","No","Attchd","RFn",2,"504","Paved","B",144000,24,0,24,"No",2,"No",0,240
44,20,"RL",70,9200,"IR1","Lvl","D","A","B","5","D","C","None",0,"TA","B","Gd","Av","B",280,938,"Good","A",938,0,938,1,3,"TA","5","No","Detchd","Unf",1,"308","Paved","B",130250,33,5,28,"No",2,"No",2,145
45,20,"RL",70,7945,"Reg","Lvl","C","A","B","5","C","B","None",0,"TA","B","TA","No","B",179,1150,"Excellent","B",1150,0,1150,1,3,"TA","6","No","Attchd","RFn",1,"300","Paved","B",141000,47,0,47,"No",2,"No",0,0
46,120,"RL",61,7658,"Reg","Lvl","F","B","B","9","B","B","BrkFace",412,"Ex","A","Ex","No","A",456,1752,"Excellent","A",1752,0,1752,2,2,"Ex","6","Yes","Attchd","RFn",2,"576","Paved","B",319900,5,0,5,"No",3,"No",0,278
47,50,"RL",48,12822,"IR1","Lvl","C","A","A","7","D","C","None",0,"Gd","A","Ex","No","A",1351,1434,"Excellent","A",1518,631,2149,1,1,"Gd","6","Yes","Attchd","RFn",2,"670","Paved","B",239686,6,0,6,"Yes",2.5,"Yes",0,409
48,20,"FV",84,11096,"Reg","Lvl","E","A","B","8","D","C","None",0,"Gd","A","Gd","Av","A",24,1656,"Excellent","A",1656,0,1656,2,3,"Gd","7","No","Attchd","RFn",3,"826","Paved","B",249700,1,0,1,"No",2,"No",0,146
49,190,"RH",33,4456,"Reg","Lvl","B","C","C","4","B","B","None",0,"TA","B","TA","No","B",0,736,"Good","A",736,716,1452,2,2,"TA","8","No","No Garage","No Garage",0,"0","PartialNo","C",113000,89,88,1,"Yes",2,"No",22,102
50,20,"RL",66,7742,"Reg","Lvl","C","A","B","5","B","B","None",0,"TA","B","TA","No","B",763,955,"Excellent","A",955,0,955,1,3,"TA","6","No","Attchd","Unf",1,"386","Paved","B",127000,41,0,41,"No",2,"No",0,0
51,60,"RL",58,13869,"IR2","Lvl","D","A","C","6","D","C","None",0,"TA","A","Gd","Av","A",182,794,"Good","A",794,676,1470,2,3,"TA","6","No","Attchd","Fin",2,"388","Paved","B",177000,10,0,10,"Yes",2.5,"No",0,75
52,50,"RH",52,6240,"Reg","Lvl","B","A","A","6","B","B","None",0,"TA","A","TA","No","B",0,816,"Good","A",816,0,1176,1,3,"TA","6","Yes","Detchd","Unf",2,"528","Paved","B",114500,72,16,56,"No",1,"No",51,112
53,90,"RH",110,8472,"IR2","Bnk","A","C","B","5","B","B","None",0,"Fa","B","Gd","Gd","B",104,816,"Good","A",816,0,816,1,2,"TA","5","No","CarPort","Unf",2,"516","Paved","B",110000,47,0,47,"No",2,"No",0,106
54,20,"RL",68,50271,"IR1","Low","E","A","B","9","B","B","None",0,"Gd","B","Ex","Gd","A",1810,1842,"Good","A",1842,0,1842,0,0,"Gd","5","Yes","Attchd","Fin",3,"894","Paved","B",385000,25,6,19,"No",2.5,"Yes",0,929
55,80,"RL",60,7134,"Reg","Bnk","C","A","B","5","B","B","None",0,"TA","B","TA","No","B",384,384,"Good","A",1360,0,1360,1,3,"TA","6","Yes","Detchd","Unf",2,"572","Paved","B",130000,52,0,52,"No",1,"No",7,50
56,20,"RL",100,10175,"IR1","Lvl","C","A","B","6","B","B","BrkFace",272,"TA","B","TA","No","B",490,1425,"Good","A",1425,0,1425,2,3,"TA","7","Yes","Attchd","RFn",2,"576","Paved","B",180500,44,0,44,"No",2,"No",0,407
57,160,"FV",24,2645,"Reg","Lvl","E","C","C","8","B","B","BrkFace",456,"Gd","A","Gd","No","A",649,970,"Excellent","A",983,756,1739,2,3,"Gd","7","No","Attchd","Fin",2,"480","Paved","B",172500,10,1,9,"Yes",3.5,"Yes",0,115
58,60,"RL",89,11645,"IR1","Lvl","D","A","C","7","D","C","None",0,"Gd","A","Gd","No","B",0,860,"Excellent","A",860,860,1720,2,3,"Gd","7","No","Attchd","RFn",2,"565","Paved","B",196500,2,0,2,"Yes",2.5,"Yes",0,70
59,60,"RL",66,13682,"IR2","HLS","F","A","C","10","D","C","BrkFace",1031,"Ex","A","Ex","Gd","B",0,1410,"Excellent","A",1426,1519,2945,3,3,"Gd","10","Yes","BuiltIn","Fin",3,"641","Paved","C",438780,0,0,0,"Yes",3.5,"Yes",0,229
60,20,"RL",60,7200,"Reg","Bnk","D","A","B","5","B","B","None",0,"TA","B","TA","Av","B",632,780,"Excellent","A",780,0,780,1,2,"TA","4","No","Detchd","Unf",1,"352","Paved","B",124900,36,0,36,"No",1,"No",1,196
61,20,"RL",63,13072,"Reg","Lvl","D","A","B","6","D","C","None",0,"TA","A","Gd","No","B",941,1158,"Excellent","A",1158,0,1158,1,3,"Gd","5","No","Detchd","Unf",2,"576","Paved","C",158000,2,0,2,"No",2.5,"Yes",2,50
62,75,"RH",60,7200,"Reg","Lvl","A","A","A","5","B","B","None",0,"TA","B","TA","No","B",0,530,"Good","A",581,530,1111,1,3,"Fa","6","No","Detchd","Unf",1,"288","PartialNo","B",101000,87,76,11,"Yes",1,"No",15,144
63,120,"RL",44,6442,"IR1","Lvl","F","B","B","8","D","C","Stone",178,"Gd","A","Gd","Mn","A",24,1370,"Excellent","A",1370,0,1370,2,2,"Gd","6","Yes","Attchd","RFn",2,"484","Paved","B",202500,1,0,1,"No",2,"No",0,169
64,70,"RH",50,10300,"IR1","Bnk","B","A","C","7","B","B","None",0,"TA","B","TA","No","B",0,576,"Good","A",902,808,1710,2,3,"TA","9","No","Detchd","Unf",2,"480","Paved","B",140000,89,29,60,"Yes",2,"No",69,87
65,60,"RL",75,9375,"Reg","Lvl","D","A","C","7","D","C","BrkFace",573,"TA","A","Gd","No","A",739,1057,"Excellent","A",1057,977,2034,2,3,"Gd","8","No","Attchd","RFn",2,"645","Paved","B",219500,12,1,11,"Yes",3.5,"Yes",1,612
66,60,"RL",76,9591,"Reg","Lvl","F","A","C","8","D","C","BrkFace",344,"Gd","A","Ex","Av","B",0,1143,"Excellent","A",1143,1330,2473,2,4,"Gd","9","Yes","BuiltIn","RFn",3,"852","Paved","B",317000,3,1,2,"Yes",2.5,"Yes",0,343
67,20,"RL",95,19900,"Reg","Lvl","C","A","B","7","C","B","BrkFace",287,"TA","B","Gd","Gd","A",912,1947,"Good","A",2207,0,2207,2,3,"TA","7","Yes","Attchd","RFn",2,"576","Paved","B",180000,40,19,21,"No",3,"No",0,301
68,20,"RL",72,10665,"IR1","Lvl","D","A","B","7","D","C","BrkFace",167,"Gd","A","Gd","Av","A",1013,1453,"Excellent","A",1479,0,1479,2,3,"Gd","7","No","Attchd","RFn",2,"558","Paved","B",226000,4,0,4,"No",3,"No",0,173
69,30,"RH",47,4608,"Reg","Lvl","B","A","B","4","B","B","None",0,"TA","B","TA","No","B",0,747,"Good","A",747,0,747,1,2,"TA","4","No","Attchd","Unf",1,"220","Paved","B",80000,65,5,60,"No",1,"No",0,0
70,50,"RL",81,15593,"Reg","Lvl","D","A","A","7","C","A","None",0,"Gd","B","TA","No","B",603,1304,"Good","A",1304,983,2287,2,3,"TA","7","Yes","Attchd","Fin",2,"667","Paved","B",225000,53,0,53,"Yes",2,"No",0,135
71,20,"RL",95,13651,"IR1","Lvl","C","A","B","7","C","B","BrkFace",1115,"TA","B","Gd","Gd","B",1880,2223,"Excellent","A",2223,0,2223,2,3,"TA","8","Yes","Attchd","Fin",2,"516","Paved","B",244000,34,0,34,"No",3,"No",0,300
72,20,"RL",69,7599,"Reg","Lvl","C","A","B","4","B","B","None",0,"TA","B","TA","No","B",565,845,"Good","A",845,0,845,1,2,"TA","4","No","Detchd","Unf",2,"360","Paved","B",129500,25,24,1,"No",2,"No",5,0
73,60,"RL",74,10141,"IR1","Lvl","D","A","C","7","D","C","BrkFace",40,"TA","A","Gd","No","B",0,832,"Good","A",885,833,1718,2,3,"TA","7","Yes","Attchd","Fin",2,"427","Paved","B",185000,11,0,11,"Yes",2.5,"Yes",0,385
74,20,"RL",85,10200,"Reg","Lvl","C","A","B","5","B","B","BrkFace",104,"TA","B","TA","No","B",320,1086,"Good","A",1086,0,1086,1,3,"TA","6","No","Attchd","Unf",2,"490","Paved","B",144900,56,49,7,"No",2,"No",35,0
75,50,"RH",60,5790,"Reg","Lvl","B","A","C","3","D","C","None",0,"Gd","B","Fa","No","B",0,840,"Good","A",840,765,1605,2,3,"TA","8","No","Detchd","Unf",1,"379","Paved","B",107400,95,35,60,"Yes",2,"No",0,202
76,180,"RH",21,1596,"Reg","Lvl","A","C","B","4","E","C","None",0,"TA","B","Gd","Gd","A",462,462,"Good","A",526,462,988,1,2,"TA","5","No","BuiltIn","Unf",1,"297","Paved","B",91000,36,0,36,"Yes",2,"No",0,221
77,20,"RL",74,8475,"IR1","Lvl","C","A","B","4","D","C","None",0,"TA","B","TA","No","B",228,952,"Excellent","B",952,0,952,1,2,"TA","4","No","Detchd","Unf",1,"283","Paved","B",135750,52,0,52,"No",1,"No",0,0
78,50,"RH",50,8635,"Reg","Lvl","B","A","A","5","B","B","None",0,"TA","B","TA","No","B",336,672,"Good","A",1072,213,1285,1,2,"TA","6","No","Detchd","Unf",1,"240","Paved","B",127000,60,53,7,"Yes",2,"No",0,0
79,90,"RL",72,10778,"Reg","Lvl","C","C","B","4","B","B","None",0,"TA","B","TA","No","B",0,1768,"Good","A",1768,0,1768,2,4,"TA","8","No","No Garage","No Garage",0,"0","Paved","B",136500,42,0,42,"No",2,"No",0,0
80,50,"RH",60,10440,"Reg","Lvl","B","A","C","5","B","B","None",0,"TA","A","TA","No","B",0,440,"Good","A",682,548,1230,1,2,"TA","5","No","Detchd","Unf",2,"440","Paved","B",110000,99,71,28,"Yes",1.5,"Yes",56,202
81,60,"RL",100,13000,"Reg","Lvl","C","A","C","6","D","C","BrkFace",576,"TA","B","Gd","No","B",448,896,"Good","A",1182,960,2142,2,4,"Gd","8","Yes","Attchd","Fin",1,"509","Paved","B",193500,41,0,41,"Yes",2.5,"Yes",0,324
82,120,"RH",32,4500,"Reg","Lvl","C","B","B","6","D","C","BrkFace",443,"TA","A","Ex","No","A",1201,1237,"Excellent","A",1337,0,1337,2,2,"TA","5","No","Attchd","Fin",2,"405","Paved","B",153500,8,0,8,"No",3,"No",0,199
83,20,"RL",78,10206,"Reg","Lvl","E","A","B","8","D","C","Stone",468,"TA","A","Gd","No","A",33,1563,"Excellent","A",1563,0,1563,2,3,"Gd","6","Yes","Attchd","RFn",3,"758","Paved","B",245000,1,0,1,"No",2,"No",0,243
84,20,"RL",80,8892,"IR1","Lvl","C","A","B","5","B","B","BrkCmn",66,"TA","B","TA","No","B",0,1065,"Good","A",1065,0,1065,1,3,"TA","6","No","Detchd","Unf",2,"461","Paved","A",126500,47,0,47,"No",1.5,"Yes",14,74
85,80,"RL",66,8530,"IR1","Lvl","D","A","B","7","B","B","BrkFace",22,"TA","A","Gd","No","B",0,384,"Good","A",804,670,1474,2,3,"TA","7","Yes","BuiltIn","Fin",2,"400","Paved","B",168500,14,1,13,"Yes",2.5,"Yes",0,192
86,60,"RL",121,16059,"Reg","Lvl","F","A","C","8","B","B","BrkFace",284,"Gd","B","Gd","No","B",0,1288,"Excellent","A",1301,1116,2417,2,4,"Gd","9","Yes","Attchd","Unf",2,"462","Paved","B",260000,15,1,14,"Yes",2.5,"Yes",0,209
87,60,"RL",122,11911,"IR2","Lvl","D","A","C","6","D","C","None",0,"Gd","A","Gd","Av","B",0,684,"Excellent","A",684,876,1560,2,3,"Gd","6","Yes","BuiltIn","Fin",2,"400","Paved","B",174000,4,0,4,"Yes",2.5,"Yes",0,138
88,160,"FV",40,3951,"Reg","Lvl","E","B","C","6","D","C","Stone",76,"Gd","A","Gd","Av","B",0,612,"Excellent","A",612,612,1224,2,2,"Gd","4","No","Detchd","RFn",2,"528","Paved","C",164500,0,0,0,"Yes",2.5,"Yes",0,234
89,50,"C (all)",105,8470,"IR1","Lvl","A","A","A","3","C","B","None",0,"Fa","B","TA","No","B",0,1013,"Good","A",1013,0,1526,1,2,"Fa","6","No","No Garage","No Garage",0,"0","PartialNo","A",85000,94,67,27,"No",1,"No",48,156
90,20,"RL",60,8070,"Reg","Lvl","D","A","B","4","D","C","None",0,"TA","A","Gd","No","A",588,990,"Excellent","A",990,0,990,1,3,"TA","5","No","No Garage","No Garage",0,"0","Paved","B",123600,13,1,12,"No",2,"No",0,0
91,20,"RL",60,7200,"Reg","Lvl","C","A","B","4","C","B","None",0,"TA","B","TA","NoBasement","No Basement",0,0,"Good","B",1040,0,1040,1,2,"TA","4","No","Detchd","Unf",2,"420","Paved","B",109900,56,0,56,"No",1,"No",0,29
92,20,"RL",85,8500,"Reg","Lvl","C","A","B","5","B","B","BrkCmn",203,"TA","B","TA","No","B",600,1235,"Good","A",1235,0,1235,1,2,"TA","6","No","Attchd","Unf",2,"480","Paved","B",98600,45,0,45,"No",1,"No",0,0
93,30,"RL",80,13360,"IR1","HLS","D","A","B","5","B","B","None",0,"TA","B","Gd","No","B",713,876,"Excellent","A",964,0,964,1,2,"TA","5","No","Detchd","Unf",2,"432","Paved","B",163500,88,85,3,"No",2,"No",0,44
94,190,"C (all)",60,7200,"Reg","Lvl","B","C","A","6","B","B","None",0,"TA","B","TA","Mn","B",1046,1214,"Excellent","A",1260,1031,2291,2,4,"TA","9","Yes","Detchd","Unf",2,"506","Paved","B",133900,97,88,9,"Yes",2.5,"No",-10,99
95,60,"RL",69,9337,"IR1","Lvl","D","A","C","6","D","C","None",0,"TA","A","Gd","No","A",648,824,"Excellent","A",905,881,1786,2,3,"Gd","7","No","Attchd","RFn",2,"684","Paved","B",204750,10,0,10,"Yes",3.5,"Yes",0,162
96,60,"RL",65,9765,"IR2","Lvl","D","A","C","6","D","C","BrkFace",68,"Ex","A","Gd","No","B",310,680,"Good","A",680,790,1470,2,3,"TA","6","Yes","BuiltIn","Fin",2,"420","Paved","B",185000,16,0,16,"Yes",2.5,"Yes",0,295
97,20,"RL",78,10264,"IR1","Lvl","D","A","B","7","D","C","BrkFace",183,"Gd","A","Gd","Av","B",1162,1588,"Excellent","A",1588,0,1588,2,3,"Gd","6","No","Attchd","RFn",2,"472","Paved","B",214000,7,0,7,"No",2,"No",0,187
98,20,"RL",73,10921,"Reg","HLS","B","A","B","4","B","B","BrkFace",48,"TA","B","TA","No","B",520,960,"Good","B",960,0,960,1,3,"TA","6","No","Attchd","Fin",1,"432","PartialNo","B",94750,42,0,42,"No",2,"No",0,120
99,30,"RL",85,10625,"Reg","Lvl","B","A","B","5","B","B","None",0,"TA","B","TA","No","B",108,458,"Bad","A",835,0,835,1,2,"TA","5","No","Basment","Unf",1,"366","Paved","A",83000,90,30,60,"No",1,"No",0,77
100,20,"RL",77,9320,"IR1","Lvl","C","A","B","4","C","B","None",0,"TA","B","TA","No","B",569,950,"Bad","A",1225,0,1225,1,3,"TA","6","No","No Garage","No Garage",0,"0","Paved","B",128950,51,0,51,"No",2.5,"Yes",0,352
101,20,"RL",80,10603,"IR1","Lvl","D","A","B","6","C","B","BrkFace",28,"TA","A","TA","Mn","B",1200,1610,"Good","A",1610,0,1610,2,3,"Gd","6","Yes","Attchd","RFn",2,"480","Paved","B",205000,33,24,9,"No",3,"No",0,236
